,Country,HDI,female work force,Population Growth Rate (%),Population_Size_2019,Cluster
0,Afghanistan,0.511,21.76,2.3080000000000003,38041757.0,0
1,Albania,0.795,52.47,-0.086,2854191.0,1
2,Algeria,0.748,17.01,1.885,43053054.0,0
3,Angola,0.581,76.11,3.2310000000000003,31825299.0,2
4,Argentina,0.845,51.34,0.932,44938712.0,1
5,Armenia,0.7759999999999999,42.91,0.19399999999999998,2957728.0,1
6,Australia,0.9440000000000001,60.82,1.194,25365745.0,1
7,Austria,0.922,55.16,0.643,8879920.0,1
8,Azerbaijan,0.7559999999999999,63.25,0.9440000000000001,10024283.0,1
9,Bahamas,0.8140000000000001,70.07,0.977,389486.0,1
10,Bahrain,0.852,45.31,4.042,1641164.0,1
11,Bangladesh,0.632,36.37,1.016,163046173.0,0
12,Barbados,0.8140000000000001,61.76,0.127,287021.0,1
13,Belarus,0.823,57.64,-0.017,9417849.0,1
14,Belgium,0.9309999999999999,48.95,0.466,11488980.0,1
15,Belize,0.716,49.97,1.864,390351.0,1
16,Benin,0.545,68.75,2.7039999999999997,11801151.0,2
17,Bhutan,0.654,59.46,1.128,763094.0,2
18,Bolivia,0.718,63.7,1.389,11513102.0,1
19,Bosnia and Herzegovina,0.78,37.44,-0.653,3300998.0,0
20,Botswana,0.735,65.33,2.119,2303703.0,1
21,Brazil,0.765,55.09,0.732,211049519.0,1
22,Brunei,0.838,56.09,0.9840000000000001,433296.0,1
23,Bulgaria,0.816,50.41,-0.737,6975761.0,1
24,Burkina Faso,0.452,58.49,2.8339999999999996,20321383.0,2
25,Burundi,0.433,80.5,3.103,11530577.0,2
26,Cabo Verde,0.665,53.43,1.423,549936.0,1
27,Cambodia,0.594,76.91,2.569,16486542.0,2
28,Cameroon,0.563,71.3,0.892,25876387.0,2
29,Canada,0.929,61.13,1.112,37593384.0,1
30,Central African Republic,0.397,64.47,1.7209999999999999,4745179.0,2
31,Chad,0.39799999999999996,64.0,2.9730000000000003,15946882.0,2
32,Chile,0.851,51.8,1.023,18952035.0,1
33,China,0.7609999999999999,60.57,0.40700000000000003,1397715000.0,1
34,Colombia,0.767,56.19,1.215,50339443.0,1
35,Comoros,0.5539999999999999,34.42,2.19,850891.0,0
36,Congo,0.574,67.57,2.544,5380504.0,2
37,Congo (Democratic Republic of the),0.48,60.99,0.938,86790568.0,2
38,Costa Rica,0.81,51.9,-0.619,5047561.0,1
39,Croatia,0.851,45.37,-0.051,4065253.0,1
40,Cuba,0.7829999999999999,41.03,0.755,11333484.0,0
41,Cyprus,0.887,58.13,0.203,1198574.0,1
42,Czechia,0.9,52.81,3.165,10671870.0,1
43,Denmark,0.94,57.88,0.34700000000000003,5814422.0,1
44,Djibouti,0.524,50.74,1.494,973557.0,2
45,Dominican Republic,0.7559999999999999,54.27,1.028,10738957.0,1
46,Ecuador,0.759,55.17,1.609,17373657.0,1
47,Egypt,0.7070000000000001,18.46,1.9480000000000002,100388076.0,0
48,El Salvador,0.6729999999999999,45.37,0.507,6453550.0,0
49,Equatorial Guinea,0.5920000000000001,54.8,3.468,1355982.0,2
50,Estonia,0.892,57.45,0.13699999999999998,1326898.0,1
51,Eswatini,0.611,48.61,1.04,1148133.0,0
52,Ethiopia,0.485,73.31,2.5610000000000004,112078727.0,2
53,Fiji,0.743,38.23,0.728,889955.0,0
54,Finland,0.938,55.73,0.16399999999999998,5521606.0,1
55,France,0.9009999999999999,50.65,0.217,67248926.0,1
56,Gabon,0.703,43.29,2.451,2172578.0,0
57,Gambia,0.496,51.11,2.909,2347696.0,2
58,Georgia,0.812,55.24,-0.172,3720161.0,1
59,Germany,0.9470000000000001,55.64,0.395,83092962.0,1
60,Ghana,0.611,63.86,2.147,30417858.0,2
61,Greece,0.888,44.54,-0.474,10721582.0,1
62,Guatemala,0.6629999999999999,40.55,1.899,16604026.0,0
63,Guinea,0.47700000000000004,62.72,2.813,12771246.0,2
64,Guinea-Bissau,0.48,65.88,2.439,1920917.0,2
65,Guyana,0.682,42.84,0.48200000000000004,782775.0,0
66,Haiti,0.51,63.69,1.24,11263079.0,2
67,Honduras,0.634,52.26,1.6269999999999998,9746115.0,2
68,Hong Kong,0.9490000000000001,53.65,0.8420000000000001,7507400.0,1
69,Hungary,0.8540000000000001,48.45,-0.243,9771141.0,1
70,Iceland,0.9490000000000001,70.21,0.669,360563.0,1
71,India,0.645,20.79,1.001,1366417756.0,0
72,Indonesia,0.718,53.81,1.082,270625567.0,1
73,Iran,0.7829999999999999,17.61,1.3230000000000002,82913893.0,0
74,Iraq,0.674,11.53,2.275,39309789.0,0
75,Ireland,0.955,56.29,1.2209999999999999,4934340.0,1
76,Israel,0.919,59.6,1.609,9054000.0,1
77,Italy,0.892,41.0,-0.13699999999999998,59729081.0,1
78,Jamaica,0.7340000000000001,60.28,0.446,2948277.0,1
79,Japan,0.919,53.56,-0.28600000000000003,126264931.0,1
80,Jordan,0.7290000000000001,14.59,1.179,10101697.0,0
81,Kazakhstan,0.825,62.75,1.232,18513673.0,1
82,Kenya,0.601,72.01,2.262,52573967.0,2
83,Kuwait,0.8059999999999999,49.78,1.585,4207077.0,1
84,Kyrgyzstan,0.6970000000000001,44.09,1.716,6456200.0,0
85,Laos,0.613,76.49,1.493,7169456.0,2
86,Latvia,0.866,55.79,-1.1079999999999999,1913822.0,1
87,Lebanon,0.7440000000000001,23.11,-0.248,6855709.0,0
88,Lesotho,0.527,60.38,0.7979999999999999,2125267.0,2
89,Liberia,0.48,72.0,2.417,4937374.0,2
90,Libya,0.7240000000000001,34.01,1.422,6777453.0,0
91,Lithuania,0.882,57.26,-1.43,2794137.0,1
92,Luxembourg,0.9159999999999999,54.62,1.767,620001.0,1
93,Madagascar,0.528,83.23,2.6489999999999996,26969306.0,2
94,Malawi,0.483,72.53,2.648,18628749.0,2
95,Malaysia,0.81,51.33,1.3119999999999998,31949789.0,1
96,Maldives,0.74,41.61,2.352,530957.0,0
97,Mali,0.434,57.84,2.984,19658023.0,2
98,Malta,0.895,48.37,0.259,504062.0,1
99,Mauritania,0.546,28.1,2.722,4525698.0,0
100,Mauritius,0.804,45.04,0.18100000000000002,1265711.0,1
101,Mexico,0.779,45.58,1.075,127575529.0,1
102,Moldova,0.75,38.22,-0.222,2663251.0,0
103,Mongolia,0.737,55.33,1.676,3225166.0,1
104,Montenegro,0.8290000000000001,47.8,0.021,622028.0,1
105,Morocco,0.6859999999999999,21.59,1.209,36471766.0,0
106,Mozambique,0.456,77.44,2.897,30366043.0,2
107,Myanmar,0.583,46.23,0.649,54045422.0,0
108,Namibia,0.6459999999999999,55.77,1.857,2494524.0,2
109,Nepal,0.602,81.52,1.819,28608715.0,2
110,Netherlands,0.9440000000000001,59.0,0.22,17344874.0,1
111,New Zealand,0.9309999999999999,64.88,0.8270000000000001,4979300.0,1
112,Nicaragua,0.66,49.74,1.215,6545503.0,0
113,Niger,0.39399999999999996,60.8,3.783,23310719.0,2
114,Nigeria,0.539,48.52,2.5540000000000003,200963603.0,2
115,North Macedonia,0.774,44.92,0.01,2083458.0,1
116,Norway,0.9570000000000001,60.59,0.774,5347896.0,1
117,Oman,0.813,35.97,2.79,4974992.0,0
118,Pakistan,0.557,21.67,2.001,216565317.0,0
119,Palestine,0.708,18.18,2.3930000000000002,4685306.0,0
120,Panama,0.815,54.86,1.624,4246440.0,1
121,Papua New Guinea,0.555,46.42,1.9409999999999998,8776119.0,0
122,Paraguay,0.728,59.98,1.253,7044639.0,1
123,Peru,0.777,70.58,1.5130000000000001,32510462.0,1
124,Philippines,0.718,47.05,1.355,108116622.0,1
125,Poland,0.88,48.6,-0.099,37965475.0,1
126,Portugal,0.8640000000000001,54.72,-0.29100000000000004,10286263.0,1
127,Qatar,0.848,56.64,1.755,2832071.0,1
128,Romania,0.828,45.6,-0.693,19371648.0,1
129,Russia,0.8240000000000001,54.58,0.069,144406261.0,1
130,Rwanda,0.5429999999999999,83.89,2.575,12626938.0,2
131,Saint Lucia,0.759,68.77,0.47600000000000003,182795.0,1
132,Saint Vincent and the Grenadines,0.738,57.01,0.33299999999999996,110593.0,1
133,Samoa,0.715,31.12,0.578,197093.0,0
134,Sao Tome and Principe,0.625,41.64,1.89,215048.0,0
135,Saudi Arabia,0.8540000000000001,22.09,1.6219999999999999,34268529.0,0
136,Senegal,0.512,35.12,2.73,16296362.0,0
137,Serbia,0.8059999999999999,47.92,-0.373,6945235.0,1
138,Sierra Leone,0.452,57.53,2.092,7813207.0,2
139,Singapore,0.938,61.91,0.8,5703569.0,1
140,Slovenia,0.917,53.3,0.026000000000000002,2088385.0,1
141,Solomon Islands,0.5670000000000001,82.11,2.54,669821.0,2
142,South Africa,0.7090000000000001,49.59,1.295,58558267.0,1
143,South Korea,0.9159999999999999,53.77,0.095,51709098.0,1
144,South Sudan,0.433,70.93,0.982,11062114.0,2
145,Spain,0.904,52.16,0.066,47133521.0,1
146,Sri Lanka,0.782,33.55,0.433,21803000.0,0
147,Sudan,0.51,29.36,2.391,42813237.0,0
148,Suriname,0.738,39.44,0.9159999999999999,581363.0,0
149,Sweden,0.945,61.19,0.636,10278887.0,1
150,Switzerland,0.955,62.9,0.7509999999999999,8575280.0,1
151,Syria,0.5670000000000001,14.72,1.6130000000000002,17070132.0,0
152,Tajikistan,0.6679999999999999,29.18,2.344,9321023.0,0
153,Tanzania,0.529,79.69,2.949,58005461.0,2
154,Thailand,0.777,58.79,0.267,69625581.0,1
155,Timor-Leste,0.606,61.89,1.9509999999999998,1293120.0,2
156,Togo,0.515,56.25,2.41,8082359.0,2
157,Tonga,0.725,38.09,1.196,104497.0,0
158,Trinidad and Tobago,0.7959999999999999,50.09,0.34600000000000003,1394969.0,1
159,Tunisia,0.74,24.89,1.084,11694721.0,0
160,Turkey,0.82,34.27,1.199,83429607.0,0
161,Turkmenistan,0.715,44.39,1.517,5942094.0,0
162,Uganda,0.544,66.93,3.406,44269587.0,2
163,Ukraine,0.779,46.87,-0.5820000000000001,44386203.0,1
164,United Arab Emirates,0.89,52.05,1.329,9770526.0,1
165,United Kingdom,0.932,58.09,0.551,66836327.0,1
166,United States,0.9259999999999999,56.76,0.594,328329953.0,1
167,Uruguay,0.8170000000000001,55.46,0.353,3461731.0,1
168,Uzbekistan,0.72,48.84,1.506,33580350.0,1
169,Vanuatu,0.609,60.97,2.414,299882.0,2
170,Venezuela,0.711,41.95,-0.787,28515829.0,0
171,Vietnam,0.7040000000000001,72.73,0.929,96462108.0,2
172,Yemen,0.47,6.04,2.276,29161922.0,0
173,Zambia,0.584,70.4,2.889,17861034.0,2
174,Zimbabwe,0.5710000000000001,78.12,1.4480000000000002,14645473.0,2
